solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;17Cap20.txt;120;75,22;0;50772,0;2263,2;2263,2;10200;20100;34102;200;7101;14102;1437,9;10272,5;1437,9;2170,86511;2632,4;1,0;108;271;121;26;;179;55;3
CBC;17Cap20.txt;120;119,97;4,8605773429993935;6588;2289,8;2178,5025;10200;20100;34102;200;7101;14102;2178,5025;6793,0;2178,5025;;;;;;;;;;;
CPLEX;17Cap20.txt;300;26,15;0;18916,0;2263,2;2262,9852262;200;7101;14102;200;7101;14102;0,0;56702,7;0,0;2185,3349;2488,2;2,47;164;715;21;12;;55;;39
GUROBI;17Cap20.txt;300;74,92;0;50772,0;2263,2;2263,2;10200;20100;34102;200;7101;14102;1437,9;10272,5;1437,9;2170,86511;2632,4;1,0;108;271;121;26;;179;55;3
CBC;17Cap20.txt;300;299,86;1,617564186965116;12368;2278,5;2241,6438;10200;20100;34102;200;7101;14102;2178,5025;6793,0;2178,5025;;;;;;;;;;;
CPLEX;17Cap20.txt;600;26,1;0;18916,0;2263,2;2262,9852262;200;7101;14102;200;7101;14102;0,0;56702,7;0,0;2185,3349;2488,2;2,48;164;715;21;12;;55;;39
GUROBI;17Cap20.txt;600;75,23;0;50772,0;2263,2;2263,2;10200;20100;34102;200;7101;14102;1437,9;10272,5;1437,9;2170,86511;2632,4;1,0;108;271;121;26;;179;55;3
CBC;17Cap20.txt;600;599,88;0,2890529935631663;22457;2268,2;2261,6437;10200;20100;34102;200;7101;14102;2178,5025;6793,0;2178,5025;;;;;;;;;;;
CPLEX;17Cap30.txt;120;15,33;0;8973,0;2059,7;2059,4968981;200;7101;14102;200;6932;13764;0,0;78361,3;0,0;1959,1493;2215,1;3,48;222;697;15;22;;59;;18
GUROBI;17Cap30.txt;120;24,07;0;18815,0;2059,7;2059,7;10200;20100;34102;200;7101;14102;1106,5;10430,7;1106,5;1938,97833;2529,0;0,0;198;413;13;22;;101;35;2
CBC;17Cap30.txt;120;119,95;5,284883945841396;3696;2068,0;1958,7086;10200;20100;34102;200;7101;14102;1958,7086;6340,3;1958,7086;;;;;;;;;;;
CPLEX;17Cap30.txt;300;15,39;0;8973,0;2059,7;2059,4968981;200;7101;14102;200;6932;13764;0,0;78361,3;0,0;1959,1493;2215,1;3,44;222;697;15;22;;59;;18
GUROBI;17Cap30.txt;300;24,04;0;18815,0;2059,7;2059,7;10200;20100;34102;200;7101;14102;1106,5;10430,7;1106,5;1938,97833;2529,0;0,0;198;413;13;22;;101;35;2
CBC;17Cap30.txt;300;193,59;0;5945;2059,7;2059,7;10200;20100;34102;200;7101;14102;1958,7086;6340,3;1958,7086;;;;;;;;;;;
CPLEX;17Cap30.txt;600;15,36;0;8973,0;2059,7;2059,4968981;200;7101;14102;200;6932;13764;0,0;78361,3;0,0;1959,1493;2215,1;3,45;222;697;15;22;;59;;18
GUROBI;17Cap30.txt;600;24,02;0;18815,0;2059,7;2059,7;10200;20100;34102;200;7101;14102;1106,5;10430,7;1106,5;1938,97833;2529,0;0,0;198;413;13;22;;101;35;2
CBC;17Cap30.txt;600;193,15;0;5945;2059,7;2059,7;10200;20100;34102;200;7101;14102;1958,7086;6340,3;1958,7086;;;;;;;;;;;
CPLEX;17Cap40.txt;120;16,94;0;9588,0;2015,8;2015,6345489;200;7101;14102;200;7040;13980;0,0;100074,8;0,0;1890,5013;2145,0;3,16;290;644;10;12;;64;;19
GUROBI;17Cap40.txt;120;27,47;0;20374,0;2015,8;2015,8;10200;20100;34102;200;7101;14102;912,3;10275,4;912,3;1860,52005;2362,4;1,0;249;425;21;29;;105;40;3
