solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap102;600;0,11;0;6;124586,3500000028;124586,3500000028;75;1275;2525;75;1274;2524;118388,6;149504,97;118388,6;;;;;;;;;;;;
CPLEX;cap103;120;0,1;0;0,0;134586,35;134586,35;75;1274;2524;74;1274;2474;0,0;357237,1;0,0;134586,35;134586,35;0,1;;;10;5;69;;4;;
GUROBI;cap103;120;0,02;0;1,0;134586,35;134586,35;75;1275;2525;74;824;1574;117899,659;1166690,87;117899,659;134586,35;134586,35;0,0;;;;2;25;;18;;
CBC;cap103;120;0,12;0;6;134586,3500000028;134586,3500000028;75;1275;2525;75;1274;2524;125994,71;184715,43;125994,71;;;;;;;;;;;;
CPLEX;cap103;300;0,1;0;0,0;134586,35;134586,35;75;1274;2524;74;1274;2474;0,0;357237,1;0,0;134586,35;134586,35;0,09;;;10;5;69;;4;;
GUROBI;cap103;300;0,02;0;1,0;134586,35;134586,35;75;1275;2525;74;824;1574;117899,659;1166690,87;117899,659;134586,35;134586,35;0,0;;;;2;25;;18;;
CBC;cap103;300;0,12;0;6;134586,3500000028;134586,3500000028;75;1275;2525;75;1274;2524;125994,71;184715,43;125994,71;;;;;;;;;;;;
CPLEX;cap103;600;0,1;0;0,0;134586,35;134586,35;75;1274;2524;74;1274;2474;0,0;357237,1;0,0;134586,35;134586,35;0,09;;;10;5;69;;4;;
GUROBI;cap103;600;0,02;0;1,0;134586,35;134586,35;75;1275;2525;74;824;1574;117899,659;1166690,87;117899,659;134586,35;134586,35;0,0;;;;2;25;;18;;
CBC;cap103;600;0,12;0;6;134586,3500000028;134586,3500000028;75;1275;2525;75;1274;2524;125994,71;184715,43;125994,71;;;;;;;;;;;;
CPLEX;cap104;120;0,07;0;0,0;149586,35;149586,35;75;1274;2524;74;1274;2474;0,0;364737,1;0,0;149586,35;149586,35;0,07;;;7;6;69;;7;;
GUROBI;cap104;120;0,02;0;1,0;149586,35;149586,35;75;1275;2525;74;824;1574;126414,455;1301690,87;126414,455;126414,455;149586,35;0,0;;;;2;25;;18;;
CBC;cap104;120;0,14;0;6;149586,3500000028;149586,3500000028;75;1275;2525;75;1274;2524;137217,31;222215,43;137217,31;;;;;;;;;;;;
CPLEX;cap104;300;0,07;0;0,0;149586,35;149586,35;75;1274;2524;74;1274;2474;0,0;364737,1;0,0;149586,35;149586,35;0,07;;;7;6;69;;7;;
GUROBI;cap104;300;0,01;0;1,0;149586,35;149586,35;75;1275;2525;74;824;1574;126414,455;1301690,87;126414,455;126414,455;149586,35;0,0;;;;2;25;;18;;
CBC;cap104;300;0,14;0;6;149586,3500000028;149586,3500000028;75;1275;2525;75;1274;2524;137217,31;222215,43;137217,31;;;;;;;;;;;;
CPLEX;cap104;600;0,08;0;0,0;149586,35;149586,35;75;1274;2524;74;1274;2474;0,0;364737,1;0,0;149586,35;149586,35;0,08;;;7;6;69;;7;;
GUROBI;cap104;600;0,01;0;1,0;149586,35;149586,35;75;1275;2525;74;824;1574;126414,455;1301690,87;126414,455;126414,455;149586,35;0,0;;;;2;25;;18;;
CBC;cap104;600;0,15;0;6;149586,3500000028;149586,3500000028;75;1275;2525;75;1274;2524;137217,31;222215,43;137217,31;;;;;;;;;;;;
CPLEX;cap121;120;0,06;0;0,0;90287,271317;90287,271317;100;2549;5049;100;2549;5049;0,0;41932400,0;0,0;90287,2713;90287,2713;0,05;;;;4;13;1;2;;
GUROBI;cap121;120;0,04;0;1,0;90287,2713175;90287,2713175;100;2550;5050;100;2549;5049;87865,5155;2741974,2;87865,5155;89198,8532;90287,2713;0,0;;;;2;10;;1;;
CBC;cap121;120;0,35;0;4;90287,27131749874;90287,27131749874;100;2550;5050;100;2549;5049;88906,582;98971,992;88906,582;;;;;;;;;;;;
CPLEX;cap121;300;0,05;0;0,0;90287,271317;90287,271317;100;2549;5049;100;2549;5049;0,0;41932400,0;0,0;90287,2713;90287,2713;0,05;;;;4;13;1;2;;
