solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;capb4;120;121,76;81,71899754376368;0;68501145,0;12522696,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb4;300;268,68;0;4234,0;13082516,496;13081575,482;1100;100100;200100;1100;100100;200100;0,0;104560000,0;0,0;13057600,0;14436800,0;64,74;1;47;2;;7903;;29;;;1;47;2;;29;;;2;;7903;;29;;;1;47;2;;7903;29;;;
GUROBI;capb4;300;300,18;1,3783;1377,0;13240158,46172;13057668,40785;1100;100100;200100;1100;100100;200100;7457909,28;103320000,0;7457909,28;12153000,0;13815000,0;35,0;;55;;2;8017;;8;48;19;;55;;2;8;48;19;;2;8017;;8;48;19;;55;;2;8017;8;;48;19
CBC;capb4;300;312,22;81,17247967169016;0;68501145,0;12897067,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb4;600;269,89;0;4234,0;13082516,496;13081575,482;1100;100100;200100;1100;100100;200100;0,0;104560000,0;0,0;13057600,0;14436800,0;66,12;1;47;2;;7903;;29;;;1;47;2;;29;;;2;;7903;;29;;;1;47;2;;7903;29;;;
GUROBI;capb4;600;544,59;0;1841,0;13082516,49637;13082516,49637;1100;100100;200100;1100;100100;200100;7457909,28;103320000,0;7457909,28;12153000,0;13815000,0;35,0;;59;1;3;8232;;45;51;20;;59;1;3;45;51;20;1;3;8232;;45;51;20;;59;1;3;8232;45;;51;20
CBC;capb4;600;613,97;80,9968621692382;0;68501145,0;13017367,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc1;120;120,11;0,61;1584,0;11671442,477;11600298,145;1100;100100;200100;1100;100100;200100;0,0;82756000,0;0,0;11585900,0;11727400,0;39,06;9;32;1;;4651;;8;;4;9;32;1;;8;;4;1;;4651;;8;;4;9;32;1;;4651;8;;;4
GUROBI;capc1;120;83,72;0;481,0;11646596,97404;11646596,97404;1100;100100;200100;1100;100100;200100;7991461,82;82495000,0;7991461,82;11573000,0;11743000,0;45,0;5;34;1;9;4671;;8;24;;5;34;1;9;8;24;;1;9;4671;;8;24;;5;34;1;9;4671;8;1;24;
CBC;capc1;120;120,28;77,79296333846938;0;51846035,0;11513468,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc1;300;161,75;0;2843,0;11646596,974;11645436,677;1100;100100;200100;1100;100100;200100;0,0;82756000,0;0,0;11585900,0;11727400,0;38,86;9;32;1;;4651;;8;;4;9;32;1;;8;;4;1;;4651;;8;;4;9;32;1;;4651;8;;;4
GUROBI;capc1;300;83,57;0;481,0;11646596,97404;11646596,97404;1100;100100;200100;1100;100100;200100;7991461,82;82495000,0;7991461,82;11573000,0;11743000,0;45,0;5;34;1;9;4671;;8;24;;5;34;1;9;8;24;;1;9;4671;;8;24;;5;34;1;9;4671;8;1;24;
CBC;capc1;300;299,11;77,67936930953351;1;51846035,0;11572362,0;1100;100100;200100;1100;100100;200100;11572362,0;51846035;11572362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc1;600;161,15;0;2843,0;11646596,974;11645436,677;1100;100100;200100;1100;100100;200100;0,0;82756000,0;0,0;11585900,0;11727400,0;38,68;9;32;1;;4651;;8;;4;9;32;1;;8;;4;1;;4651;;8;;4;9;32;1;;4651;8;;;4
GUROBI;capc1;600;83,27;0;481,0;11646596,97404;11646596,97404;1100;100100;200100;1100;100100;200100;7991461,82;82495000,0;7991461,82;11573000,0;11743000,0;44,0;5;34;1;9;4671;;8;24;;5;34;1;9;8;24;;1;9;4671;;8;24;;5;34;1;9;4671;8;1;24;
CBC;capc1;600;600,34;4,827438512939881;145;12159347,0;11572362,0;1100;100100;200100;1100;100100;200100;11572362,0;51846035;11572362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc2;120;104,18;0;749,0;11570340,289;11569189,983;1100;100100;200100;1100;100100;200100;0,0;82788200,0;0,0;11522400,0;12003200,0;54,69;7;44;1;;5798;;8;;9;7;44;1;;8;;9;1;;5798;;8;;9;7;44;1;;5798;8;;;9
GUROBI;capc2;120;120,01;1,4003;950,0;11570995,55066;11408968,68415;1100;100100;200100;1100;100100;200100;7329249,21;82495000,0;7329249,21;11344000,0;11957000,0;44,0;4;39;1;3;4836;;;18;;4;39;1;3;;18;;1;3;4836;;;18;;4;39;1;3;4836;;;18;
CBC;capc2;120;121,99;78,13169187969136;0;51824471,0;11333135,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc2;300;102,5;0;749,0;11570340,289;11569189,983;1100;100100;200100;1100;100100;200100;0,0;82788200,0;0,0;11522400,0;12003200,0;53,8;7;44;1;;5798;;8;;9;7;44;1;;8;;9;1;;5798;;8;;9;7;44;1;;5798;8;;;9
GUROBI;capc2;300;300,14;0,4216;1287,0;11570771,9749;11521988,92892;1100;100100;200100;1100;100100;200100;7329249,21;82495000,0;7329249,21;11344000,0;11957000,0;43,0;3;47;2;3;5873;;1;35;14;3;47;2;3;1;35;14;2;3;5873;;1;35;14;3;47;2;3;5873;1;;35;14
CBC;capc2;300;299,33;77,86373931342203;0;51824471,0;11472000,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc2;600;102,78;0;749,0;11570340,289;11569189,983;1100;100100;200100;1100;100100;200100;0,0;82788200,0;0,0;11522400,0;12003200,0;53,9;7;44;1;;5798;;8;;9;7;44;1;;8;;9;1;;5798;;8;;9;7;44;1;;5798;8;;;9
GUROBI;capc2;600;344,19;0;1538,0;11570340,28884;11570340,28884;1100;100100;200100;1100;100100;200100;7329249,21;82495000,0;7329249,21;11344000,0;11957000,0;43,0;3;46;2;3;5870;;2;39;14;3;46;2;3;2;39;14;2;3;5870;;2;39;14;3;46;2;3;5870;2;;39;14
